tKr,tKr1,yKr,yKr1
505.34,505.34,0.99092,99.109
506.34,506.34,0.9909,99.108
507.34,507.34,0.99089,99.107
508.34,508.34,0.99088,99.106
509.34,509.34,0.99087,99.105
510.34,510.34,0.99087,99.105
511.34,511.34,0.99087,99.104
512.34,512.34,0.99087,99.104
513.34,513.34,0.99087,99.105
514.34,514.34,0.99088,99.105
515.34,515.34,0.99089,99.106
516.34,516.34,0.9909,99.107
517.34,517.34,0.99091,99.108
518.35,518.35,0.99092,99.11
519.35,519.35,0.99094,99.111
520.35,520.35,0.99096,99.113
521.35,521.35,0.99098,99.115
522.35,522.35,0.991,99.118
523.35,523.35,0.99103,99.12
524.35,524.35,0.99105,99.123
525.35,525.35,0.99108,99.126
526.35,526.35,0.99111,99.129
527.35,527.35,0.99114,99.132
528.35,528.35,0.99118,99.135
529.35,529.35,0.99121,99.139
530.35,530.35,0.99125,99.142
531.35,531.35,0.99129,99.146
532.35,532.35,0.99133,99.15
533.36,533.36,0.99137,99.155
534.36,534.36,0.99141,99.159
535.36,535.36,0.99146,99.163
536.36,536.36,0.9915,99.168
537.36,537.36,0.99155,99.173
538.36,538.36,0.9916,99.178
539.36,539.36,0.99165,99.183
540.36,540.36,0.9917,99.188
541.36,541.36,0.99175,99.193
542.36,542.36,0.99181,99.198
543.36,543.36,0.99186,99.204
544.36,544.36,0.99192,99.209
545.36,545.36,0.99197,99.215
546.36,546.36,0.99203,99.221
547.36,547.36,0.99209,99.227
548.37,548.37,0.99215,99.233
549.37,549.37,0.99221,99.239
550.37,550.37,0.99227,99.245
551.37,551.37,0.99234,99.251
552.37,552.37,0.9924,99.258
553.37,553.37,0.99246,99.264
554.37,554.37,0.99253,99.27
555.37,555.37,0.99259,99.277
556.37,556.37,0.99266,99.284
557.37,557.37,0.99273,99.29
558.37,558.37,0.99279,99.297
559.37,559.37,0.99286,99.304
560.37,560.37,0.99293,99.311
561.37,561.37,0.993,99.318
562.37,562.37,0.99307,99.324
