tempo,kirootlocus,kibode,kiatrasobode,kiatrasorootlocus
52.4,-0.0017801,-0.0020314,0,0
52.5,-0.0017826,-0.0020342,0,0
52.6,-0.0017851,-0.0020371,0,0
52.7,-0.0017876,-0.0020399,0,0
52.8,-0.00179,-0.0020427,0,0
52.9,-0.0017925,-0.0020455,0,0
53,-0.0017949,-0.0020483,0,0
53.1,-0.0017974,-0.0020511,0,0
53.2,-0.0017998,-0.0020538,0,0
53.3,-0.0018021,-0.0020566,0,0
53.4,-0.0018045,-0.0020593,0,0
53.5,-0.0018069,-0.002062,0,0
53.6,-0.0018092,-0.0020646,0,0
53.7,-0.0018115,-0.0020673,0,0
53.8,-0.0018139,-0.0020699,0,0
53.9,-0.0018161,-0.0020725,0,0
54,-0.0018184,-0.0020751,0,0
54.1,-0.0018207,-0.0020777,0,0
54.2,-0.0018229,-0.0020803,0,0
54.3,-0.0018251,-0.0020828,0,0
54.4,-0.0018273,-0.0020853,0,0
54.5,-0.0018295,-0.0020878,0,0
54.6,-0.0018317,-0.0020903,0,0
54.7,-0.0018339,-0.0020928,0,0
54.8,-0.001836,-0.0020952,0,0
54.9,-0.0018381,-0.0020976,0,0
55,-0.0018402,-0.0021,0,0
55.1,-0.0018423,-0.0021024,0,0
55.2,-0.0018444,-0.0021048,0,0
55.3,-0.0018465,-0.0021071,0,0
55.4,-0.0018485,-0.0021095,0,0
55.5,-0.0018505,-0.0021118,0,0
55.6,-0.0018525,-0.0021141,0,0
55.7,-0.0018545,-0.0021163,0,0
55.8,-0.0018565,-0.0021186,0,0
55.9,-0.0018584,-0.0021208,0,0
56,-0.0018604,-0.002123,0,0
56.1,-0.0018623,-0.0021252,0,0
56.2,-0.0018642,-0.0021274,0,0
56.3,-0.0018661,-0.0021295,0,0
56.4,-0.0018679,-0.0021317,0,0
56.5,-0.0018698,-0.0021338,0,0
56.6,-0.0018716,-0.0021359,0,0
56.7,-0.0018734,-0.0021379,0,0
56.8,-0.0018752,-0.00214,0,0
56.9,-0.001877,-0.002142,0,0
57,-0.0018788,-0.002144,0,0
57.1,-0.0018805,-0.002146,0,0
57.2,-0.0018822,-0.002148,0,0
57.3,-0.0018839,-0.0021499,0,0
57.4,-0.0018856,-0.0021518,0,0
57.5,-0.0018873,-0.0021537,0,0
57.6,-0.0018889,-0.0021556,0,0
57.7,-0.0018906,-0.0021575,0,0
57.8,-0.0018922,-0.0021593,0,0
57.9,-0.0018938,-0.0021612,0,0
58,-0.0018954,-0.002163,0,0
58.1,-0.0018969,-0.0021647,0,0
58.2,-0.0018985,-0.0021665,0,0
58.3,-0.0019,-0.0021682,0,0
58.4,-0.0019015,-0.00217,0,0
58.5,-0.001903,-0.0021717,0,0
58.6,-0.0019044,-0.0021733,0,0
58.7,-0.0019059,-0.002175,0,0
58.8,-0.0019073,-0.0021766,0,0
58.9,-0.0019087,-0.0021782,0,0
59,-0.0019101,-0.0021798,0,0
59.1,-0.0019115,-0.0021814,0,0
59.2,-0.0019129,-0.0021829,0,0
59.3,-0.0019142,-0.0021845,0,0
59.4,-0.0019155,-0.002186,0,0
59.5,-0.0019168,-0.0021875,0,0
59.6,-0.0019181,-0.0021889,0,0
59.7,-0.0019193,-0.0021904,0,0
59.8,-0.0019206,-0.0021918,0,0
59.9,-0.0019218,-0.0021932,0,0
60,-0.001923,-0.0021946,0,0
60.1,-0.0019242,-0.0021959,0,0
60.2,-0.0019254,-0.0021972,0,0
60.3,-0.0019265,-0.0021986,0,0
60.4,-0.0019276,-0.0021998,0,0
60.5,-0.0019288,-0.0022011,0,0
60.6,-0.0019298,-0.0022024,0,0
60.7,-0.0019309,-0.0022036,0,0
60.8,-0.001932,-0.0022048,0,0
60.9,-0.001933,-0.002206,0,0
61,-0.001934,-0.0022071,0,0
61.1,-0.001935,-0.0022082,0,0
61.2,-0.001936,-0.0022094,0,0
61.3,-0.0019369,-0.0022104,0,0
61.4,-0.0019379,-0.0022115,0,0
61.5,-0.0019388,-0.0022126,0,0
61.6,-0.0019397,-0.0022136,0,0
61.7,-0.0019405,-0.0022146,0,0
61.8,-0.0019414,-0.0022155,0,0
61.9,-0.0019422,-0.0022165,0,0
62,-0.001943,-0.0022174,0,0
62.1,-0.0019438,-0.0022183,0,0
62.2,-0.0019446,-0.0022192,0,0
62.3,-0.0019454,-0.0022201,0,0
62.4,-0.0019461,-0.0022209,0,0
62.5,-0.0019468,-0.0022217,0,0
62.6,-0.0019475,-0.0022225,0,0
62.7,-0.0019482,-0.0022233,0,0
62.8,-0.0019489,-0.0022241,0,0
