tempo,rootlocuspade
8.7088,-0.066167
8.7188,-0.066229
8.7288,-0.06629
8.7388,-0.066352
8.7488,-0.066413
8.7588,-0.066475
8.7688,-0.066536
8.7788,-0.066597
8.7888,-0.066659
8.7988,-0.06672
8.8088,-0.066781
8.8188,-0.066843
8.8288,-0.066904
8.8388,-0.066965
8.8488,-0.067026
8.8588,-0.067087
8.8688,-0.067148
8.8788,-0.067209
8.8888,-0.06727
8.8988,-0.067331
8.9088,-0.067392
8.9188,-0.067453
8.9288,-0.067514
8.9388,-0.067575
8.9488,-0.067636
8.9588,-0.067696
8.9688,-0.067757
8.9788,-0.067818
8.9888,-0.067879
8.9988,-0.067939
9.0088,-0.068
9.0188,-0.06806
9.0288,-0.068121
9.0388,-0.068181
9.0488,-0.068242
9.0588,-0.068302
9.0688,-0.068363
9.0788,-0.068423
9.0888,-0.068484
9.0988,-0.068544
9.1088,-0.068604
9.1188,-0.068665
9.1288,-0.068725
9.1388,-0.068785
9.1488,-0.068845
9.1588,-0.068905
9.1688,-0.068965
9.1788,-0.069025
9.1888,-0.069085
9.1988,-0.069146
9.2088,-0.069205
9.2188,-0.069265
9.2288,-0.069325
9.2388,-0.069385
9.2488,-0.069445
9.2588,-0.069505
9.2688,-0.069565
9.2788,-0.069624
9.2888,-0.069684
9.2988,-0.069744
9.3088,-0.069804
9.3188,-0.069863
9.3288,-0.069923
9.3388,-0.069982
9.3488,-0.070042
9.3588,-0.070101
9.3688,-0.070161
9.3788,-0.07022
9.3888,-0.07028
9.3988,-0.070339
9.4088,-0.070398
9.4188,-0.070458
9.4288,-0.070517
9.4388,-0.070576
9.4488,-0.070635
9.4588,-0.070695
9.4688,-0.070754
9.4788,-0.070813
9.4888,-0.070872
9.4988,-0.070931
9.5088,-0.07099
9.5188,-0.071049
9.5288,-0.071108
9.5388,-0.071167
9.5488,-0.071226
9.5588,-0.071285
9.5688,-0.071343
9.5788,-0.071402
9.5888,-0.071461
9.5988,-0.07152
9.6088,-0.071578
9.6188,-0.071637
9.6288,-0.071696
9.6388,-0.071754
9.6488,-0.071813
9.6588,-0.071872
9.6688,-0.07193
9.6788,-0.071989
9.6888,-0.072047
9.6988,-0.072105
9.7088,-0.072164
9.7188,-0.072222
9.7288,-0.07228
9.7388,-0.072339
9.7488,-0.072397
9.7588,-0.072455
9.7688,-0.072513
9.7788,-0.072572
9.7888,-0.07263
9.7988,-0.072688
9.8088,-0.072746
9.8188,-0.072804
9.8288,-0.072862
9.8388,-0.07292
9.8488,-0.072978
9.8588,-0.073036
9.8688,-0.073094
9.8788,-0.073151
9.8888,-0.073209
9.8988,-0.073267
9.9088,-0.073325
9.9188,-0.073383
9.9288,-0.07344
9.9388,-0.073498
9.9488,-0.073555
9.9588,-0.073613
9.9688,-0.073671
9.9788,-0.073728
9.9888,-0.073786
9.9988,-0.073843
10.009,-0.073901
10.019,-0.073958
10.029,-0.074015
10.039,-0.074073
10.049,-0.07413
10.059,-0.074187
10.069,-0.074245
10.079,-0.074302
10.089,-0.074359
10.099,-0.074416
10.109,-0.074473
10.119,-0.07453
10.129,-0.074587
10.139,-0.074644
10.149,-0.074701
10.159,-0.074758
10.169,-0.074815
10.179,-0.074872
10.189,-0.074929
10.199,-0.074986
10.209,-0.075043
10.219,-0.075099
10.229,-0.075156
10.239,-0.075213
10.249,-0.075269
10.259,-0.075326
10.269,-0.075383
10.279,-0.075439
10.289,-0.075496
10.299,-0.075552
10.309,-0.075609
10.319,-0.075665
10.329,-0.075722
10.339,-0.075778
10.349,-0.075834
10.359,-0.075891
10.369,-0.075947
10.379,-0.076003
10.389,-0.07606
10.399,-0.076116
10.409,-0.076172
10.419,-0.076228
10.429,-0.076284
10.439,-0.07634
10.449,-0.076396
10.459,-0.076452
10.469,-0.076508
10.479,-0.076564
10.489,-0.07662
10.499,-0.076676
10.509,-0.076732
10.519,-0.076788
10.529,-0.076844
10.539,-0.076899
10.549,-0.076955
10.559,-0.077011
10.569,-0.077066
10.579,-0.077122
10.589,-0.077178
10.599,-0.077233
10.609,-0.077289
10.619,-0.077344
10.629,-0.0774
10.639,-0.077455
10.649,-0.077511
10.659,-0.077566
10.669,-0.077621
10.679,-0.077677
10.689,-0.077732
10.699,-0.077787
10.709,-0.077842
10.719,-0.077898
10.729,-0.077953
10.739,-0.078008
10.749,-0.078063
10.759,-0.078118
10.769,-0.078173
10.779,-0.078228
10.789,-0.078283
10.799,-0.078338
10.809,-0.078393
10.819,-0.078448
10.829,-0.078503
10.839,-0.078557
10.849,-0.078612
10.859,-0.078667
10.869,-0.078722
10.879,-0.078776
10.889,-0.078831
10.899,-0.078886
10.909,-0.07894
10.919,-0.078995
10.929,-0.079049
10.939,-0.079104
10.949,-0.079158
10.959,-0.079213
10.969,-0.079267
10.979,-0.079322
10.989,-0.079376
10.999,-0.07943
11.009,-0.079485
11.019,-0.079539
11.029,-0.079593
11.039,-0.079647
11.049,-0.079701
11.059,-0.079755
11.069,-0.07981
11.079,-0.079864
11.089,-0.079918
11.099,-0.079972
11.109,-0.080026
11.119,-0.08008
11.129,-0.080133
11.139,-0.080187
11.149,-0.080241
11.159,-0.080295
11.169,-0.080349
11.179,-0.080403
11.189,-0.080456
11.199,-0.08051
11.209,-0.080564
11.219,-0.080617
11.229,-0.080671
11.239,-0.080724
11.249,-0.080778
11.259,-0.080831
11.269,-0.080885
11.279,-0.080938
11.289,-0.080992
11.299,-0.081045
11.309,-0.081098
11.319,-0.081152
11.329,-0.081205
11.339,-0.081258
11.349,-0.081311
11.359,-0.081365
11.369,-0.081418
11.379,-0.081471
11.389,-0.081524
11.399,-0.081577
11.409,-0.08163
11.419,-0.081683
11.429,-0.081736
11.439,-0.081789
11.449,-0.081842
11.459,-0.081895
11.469,-0.081948
11.479,-0.082001
11.489,-0.082053
11.499,-0.082106
11.509,-0.082159
11.519,-0.082211
11.529,-0.082264
11.539,-0.082317
11.549,-0.082369
11.559,-0.082422
11.569,-0.082474
11.579,-0.082527
11.589,-0.082579
11.599,-0.082632
11.609,-0.082684
11.619,-0.082737
11.629,-0.082789
11.639,-0.082841
11.649,-0.082894
11.659,-0.082946
11.669,-0.082998
11.679,-0.08305
11.689,-0.083102
11.699,-0.083155
11.709,-0.083207
11.719,-0.083259
11.729,-0.083311
11.739,-0.083363
11.749,-0.083415
11.759,-0.083467
11.769,-0.083519
11.779,-0.08357
11.789,-0.083622
11.799,-0.083674
11.809,-0.083726
11.819,-0.083778
11.829,-0.083829
11.839,-0.083881
11.849,-0.083933
11.859,-0.083984
11.869,-0.084036
11.879,-0.084088
11.889,-0.084139
11.899,-0.084191
11.909,-0.084242
11.919,-0.084293
11.929,-0.084345
11.939,-0.084396
11.949,-0.084448
11.959,-0.084499
11.969,-0.08455
11.979,-0.084602
11.989,-0.084653
11.999,-0.084704
12.009,-0.084755
12.019,-0.084806
12.029,-0.084857
12.039,-0.084908
12.049,-0.084959
12.059,-0.08501
12.069,-0.085061
12.079,-0.085112
12.089,-0.085163
12.099,-0.085214
12.109,-0.085265
12.119,-0.085316
12.129,-0.085367
12.139,-0.085417
12.149,-0.085468
12.159,-0.085519
12.169,-0.08557
12.179,-0.08562
12.189,-0.085671
12.199,-0.085721
12.209,-0.085772
12.219,-0.085822
12.229,-0.085873
12.239,-0.085923
12.249,-0.085974
12.259,-0.086024
12.269,-0.086075
12.279,-0.086125
12.289,-0.086175
12.299,-0.086225
12.309,-0.086276
12.319,-0.086326
12.329,-0.086376
12.339,-0.086426
12.349,-0.086476
12.359,-0.086526
12.369,-0.086576
12.379,-0.086626
12.389,-0.086676
12.399,-0.086726
12.409,-0.086776
12.419,-0.086826
12.429,-0.086876
12.439,-0.086926
12.449,-0.086976
12.459,-0.087026
12.469,-0.087075
12.479,-0.087125
12.489,-0.087175
12.499,-0.087224
12.509,-0.087274
12.519,-0.087324
12.529,-0.087373
12.539,-0.087423
12.549,-0.087472
12.559,-0.087522
12.569,-0.087571
12.579,-0.08762
12.589,-0.08767
12.599,-0.087719
12.609,-0.087768
12.619,-0.087818
12.629,-0.087867
12.639,-0.087916
12.649,-0.087965
12.659,-0.088015
12.669,-0.088064
12.679,-0.088113
12.689,-0.088162
12.699,-0.088211
12.709,-0.08826
12.719,-0.088309
12.729,-0.088358
12.739,-0.088407
12.749,-0.088456
